Date/Time,Power Produced (W)
2019-08-26 10:55:00 -0700,589
2019-08-26 11:00:00 -0700,589
2019-08-26 11:05:00 -0700,584
2019-08-26 11:10:00 -0700,721
2019-08-26 11:15:00 -0700,721
2019-08-26 11:20:00 -0700,727
2019-08-26 11:25:00 -0700,915
2019-08-26 11:30:00 -0700,915
2019-08-26 11:35:00 -0700,896
2019-08-26 11:40:00 -0700,1054
2019-08-26 11:45:00 -0700,1054
2019-08-26 11:50:00 -0700,991
2019-08-26 11:55:00 -0700,1112
2019-08-26 12:00:00 -0700,1112
2019-08-26 12:05:00 -0700,1050
2019-08-26 12:10:00 -0700,1151
2019-08-26 12:15:00 -0700,1151
2019-08-26 12:20:00 -0700,1099
2019-08-26 12:25:00 -0700,1240
2019-08-26 12:30:00 -0700,1240
2019-08-26 12:35:00 -0700,1163
2019-08-26 12:40:00 -0700,1267
2019-08-26 12:45:00 -0700,1267
2019-08-26 12:50:00 -0700,1171
2019-08-26 12:55:00 -0700,1185
2019-08-26 13:00:00 -0700,1185
2019-08-26 13:05:00 -0700,1119
2019-08-26 13:10:00 -0700,1260
2019-08-26 13:15:00 -0700,1260
2019-08-26 13:20:00 -0700,1199
2019-08-26 13:25:00 -0700,1360
2019-08-26 13:30:00 -0700,1360
2019-08-26 13:35:00 -0700,1314
2019-08-26 13:40:00 -0700,1672
2019-08-26 13:45:00 -0700,1672
2019-08-26 13:50:00 -0700,1588
2019-08-26 13:55:00 -0700,1732
2019-08-26 14:00:00 -0700,1732
2019-08-26 14:05:00 -0700,1646
2019-08-26 14:10:00 -0700,1885
2019-08-26 14:15:00 -0700,1885
2019-08-26 14:20:00 -0700,1788
2019-08-26 14:25:00 -0700,1994
2019-08-26 14:30:00 -0700,1994
2019-08-26 14:35:00 -0700,1880
2019-08-26 14:40:00 -0700,1976
2019-08-26 14:45:00 -0700,1976
2019-08-26 14:50:00 -0700,1837
2019-08-26 14:55:00 -0700,1948
2019-08-26 15:00:00 -0700,1948
2019-08-26 15:05:00 -0700,1795
2019-08-26 15:10:00 -0700,1879
2019-08-26 15:15:00 -0700,1879
2019-08-26 15:20:00 -0700,1754
2019-08-26 15:25:00 -0700,1793
2019-08-26 15:30:00 -0700,1793
2019-08-26 15:35:00 -0700,1666
2019-08-26 15:40:00 -0700,1693
2019-08-26 15:45:00 -0700,1693
2019-08-26 15:50:00 -0700,1519
2019-08-26 15:55:00 -0700,1608
2019-08-26 16:00:00 -0700,1608
2019-08-26 16:05:00 -0700,1416
2019-08-26 16:10:00 -0700,1507
2019-08-26 16:15:00 -0700,1507
2019-08-26 16:20:00 -0700,1335
2019-08-26 16:25:00 -0700,1381
2019-08-26 16:30:00 -0700,1381
2019-08-26 16:35:00 -0700,1224
2019-08-26 16:40:00 -0700,1244
2019-08-26 16:45:00 -0700,1244
2019-08-26 16:50:00 -0700,1095
2019-08-26 16:55:00 -0700,1103
2019-08-26 17:00:00 -0700,1103
2019-08-26 17:05:00 -0700,968
2019-08-26 17:10:00 -0700,954
2019-08-26 17:15:00 -0700,954
2019-08-26 17:20:00 -0700,841
2019-08-26 17:25:00 -0700,798
2019-08-26 17:30:00 -0700,798
2019-08-26 17:35:00 -0700,704
2019-08-26 17:40:00 -0700,640
2019-08-26 17:45:00 -0700,640
2019-08-26 17:50:00 -0700,557
2019-08-26 17:55:00 -0700,296
2019-08-26 18:00:00 -0700,296
2019-08-26 18:05:00 -0700,259
2019-08-26 18:10:00 -0700,147
2019-08-26 18:15:00 -0700,147
2019-08-26 18:20:00 -0700,129
2019-08-26 18:25:00 -0700,66
2019-08-26 18:30:00 -0700,66
2019-08-26 18:35:00 -0700,59
2019-08-26 18:40:00 -0700,41
2019-08-26 18:45:00 -0700,41
2019-08-26 18:50:00 -0700,36
2019-08-26 18:55:00 -0700,31
2019-08-26 19:00:00 -0700,31
2019-08-26 19:05:00 -0700,27
2019-08-26 19:10:00 -0700,22
2019-08-26 19:15:00 -0700,22
2019-08-26 19:20:00 -0700,20
2019-08-26 19:25:00 -0700,12
2019-08-26 19:30:00 -0700,12
2019-08-26 19:35:00 -0700,10
2019-08-26 19:40:00 -0700,0
2019-08-26 19:45:00 -0700,0
2019-08-26 19:50:00 -0700,0
2019-08-26 19:55:00 -0700,0
2019-08-26 20:00:00 -0700,0
2019-08-26 20:05:00 -0700,0
2019-08-26 20:10:00 -0700,0
2019-08-26 20:15:00 -0700,0
2019-08-26 20:20:00 -0700,0
2019-08-26 20:25:00 -0700,0
2019-08-26 20:30:00 -0700,0
2019-08-26 20:35:00 -0700,0
2019-08-26 20:40:00 -0700,0
2019-08-26 20:45:00 -0700,0
2019-08-26 20:50:00 -0700,0
2019-08-26 20:55:00 -0700,0
2019-08-26 21:00:00 -0700,0
2019-08-26 21:05:00 -0700,0
2019-08-26 21:10:00 -0700,0
2019-08-26 21:15:00 -0700,0
2019-08-26 21:20:00 -0700,0
2019-08-26 21:25:00 -0700,0
2019-08-26 21:30:00 -0700,0
2019-08-26 21:35:00 -0700,0
2019-08-26 21:40:00 -0700,0
2019-08-26 21:45:00 -0700,0
2019-08-26 21:50:00 -0700,0
2019-08-26 21:55:00 -0700,0
2019-08-26 22:00:00 -0700,0
2019-08-26 22:05:00 -0700,0
2019-08-26 22:10:00 -0700,0
2019-08-26 22:15:00 -0700,0
2019-08-26 22:20:00 -0700,0
2019-08-26 22:25:00 -0700,0
2019-08-26 22:30:00 -0700,0
2019-08-26 22:35:00 -0700,0
2019-08-26 22:40:00 -0700,0
2019-08-26 22:45:00 -0700,0
2019-08-26 22:50:00 -0700,0
2019-08-26 22:55:00 -0700,0
2019-08-26 23:00:00 -0700,0
2019-08-26 23:05:00 -0700,0
2019-08-26 23:10:00 -0700,0
2019-08-26 23:15:00 -0700,0
2019-08-26 23:20:00 -0700,0
2019-08-26 23:25:00 -0700,0
2019-08-26 23:30:00 -0700,0
2019-08-26 23:35:00 -0700,0
2019-08-26 23:40:00 -0700,0
2019-08-26 23:45:00 -0700,0
2019-08-26 23:50:00 -0700,0
2019-08-26 23:55:00 -0700,0
2019-08-27 00:00:00 -0700,0
2019-08-27 00:05:00 -0700,0
2019-08-27 00:10:00 -0700,0
2019-08-27 00:15:00 -0700,0
2019-08-27 00:20:00 -0700,0
2019-08-27 00:25:00 -0700,0
2019-08-27 00:30:00 -0700,0
2019-08-27 00:35:00 -0700,0
2019-08-27 00:40:00 -0700,0
2019-08-27 00:45:00 -0700,0
2019-08-27 00:50:00 -0700,0
2019-08-27 00:55:00 -0700,0
2019-08-27 01:00:00 -0700,0
2019-08-27 01:05:00 -0700,0
2019-08-27 01:10:00 -0700,0
2019-08-27 01:15:00 -0700,0
2019-08-27 01:20:00 -0700,0
2019-08-27 01:25:00 -0700,0
2019-08-27 01:30:00 -0700,0
2019-08-27 01:35:00 -0700,0
2019-08-27 01:40:00 -0700,0
2019-08-27 01:45:00 -0700,0
2019-08-27 01:50:00 -0700,0
2019-08-27 01:55:00 -0700,0
2019-08-27 02:00:00 -0700,0
2019-08-27 02:05:00 -0700,0
2019-08-27 02:10:00 -0700,0
2019-08-27 02:15:00 -0700,0
2019-08-27 02:20:00 -0700,0
2019-08-27 02:25:00 -0700,0
2019-08-27 02:30:00 -0700,0
2019-08-27 02:35:00 -0700,0
2019-08-27 02:40:00 -0700,0
2019-08-27 02:45:00 -0700,0
2019-08-27 02:50:00 -0700,0
2019-08-27 02:55:00 -0700,0
2019-08-27 03:00:00 -0700,0
2019-08-27 03:05:00 -0700,0
2019-08-27 03:10:00 -0700,0
2019-08-27 03:15:00 -0700,0
2019-08-27 03:20:00 -0700,0
2019-08-27 03:25:00 -0700,0
2019-08-27 03:30:00 -0700,0
2019-08-27 03:35:00 -0700,0
2019-08-27 03:40:00 -0700,0
2019-08-27 03:45:00 -0700,0
2019-08-27 03:50:00 -0700,0
2019-08-27 03:55:00 -0700,0
2019-08-27 04:00:00 -0700,0
2019-08-27 04:05:00 -0700,0
2019-08-27 04:10:00 -0700,0
2019-08-27 04:15:00 -0700,0
2019-08-27 04:20:00 -0700,0
2019-08-27 04:25:00 -0700,0
2019-08-27 04:30:00 -0700,0
2019-08-27 04:35:00 -0700,0
2019-08-27 04:40:00 -0700,0
2019-08-27 04:45:00 -0700,0
2019-08-27 04:50:00 -0700,0
2019-08-27 04:55:00 -0700,0
2019-08-27 05:00:00 -0700,0
2019-08-27 05:05:00 -0700,0
2019-08-27 05:10:00 -0700,0
2019-08-27 05:15:00 -0700,0
2019-08-27 05:20:00 -0700,0
2019-08-27 05:25:00 -0700,0
2019-08-27 05:30:00 -0700,0
2019-08-27 05:35:00 -0700,0
2019-08-27 05:40:00 -0700,0
2019-08-27 05:45:00 -0700,0
2019-08-27 05:50:00 -0700,0
2019-08-27 05:55:00 -0700,0
2019-08-27 06:00:00 -0700,0
2019-08-27 06:05:00 -0700,0
2019-08-27 06:10:00 -0700,0
2019-08-27 06:15:00 -0700,0
2019-08-27 06:20:00 -0700,0
2019-08-27 06:25:00 -0700,0
2019-08-27 06:30:00 -0700,0
2019-08-27 06:35:00 -0700,0
2019-08-27 06:40:00 -0700,3
2019-08-27 06:45:00 -0700,4
2019-08-27 06:50:00 -0700,4
2019-08-27 06:55:00 -0700,17
2019-08-27 07:00:00 -0700,25
2019-08-27 07:05:00 -0700,25
2019-08-27 07:10:00 -0700,26
2019-08-27 07:15:00 -0700,26
2019-08-27 07:20:00 -0700,26
2019-08-27 07:25:00 -0700,94
2019-08-27 07:30:00 -0700,121
2019-08-27 07:35:00 -0700,121
2019-08-27 07:40:00 -0700,218
2019-08-27 07:45:00 -0700,261
2019-08-27 07:50:00 -0700,261
2019-08-27 07:55:00 -0700,290
2019-08-27 08:00:00 -0700,332
2019-08-27 08:05:00 -0700,332
2019-08-27 08:10:00 -0700,287
2019-08-27 08:15:00 -0700,316
2019-08-27 08:20:00 -0700,316
2019-08-27 08:25:00 -0700,241
2019-08-27 08:30:00 -0700,258
2019-08-27 08:35:00 -0700,258
2019-08-27 08:40:00 -0700,245
2019-08-27 08:45:00 -0700,273
2019-08-27 08:50:00 -0700,273
2019-08-27 08:55:00 -0700,275
2019-08-27 09:00:00 -0700,310
2019-08-27 09:05:00 -0700,310
2019-08-27 09:10:00 -0700,317
2019-08-27 09:15:00 -0700,360
2019-08-27 09:20:00 -0700,360
2019-08-27 09:25:00 -0700,321
2019-08-27 09:30:00 -0700,354
2019-08-27 09:35:00 -0700,354
2019-08-27 09:40:00 -0700,326
2019-08-27 09:45:00 -0700,361
2019-08-27 09:50:00 -0700,361
2019-08-27 09:55:00 -0700,291
2019-08-27 10:00:00 -0700,306
2019-08-27 10:05:00 -0700,306
2019-08-27 10:10:00 -0700,258
2019-08-27 10:15:00 -0700,274
2019-08-27 10:20:00 -0700,274
2019-08-27 10:25:00 -0700,266
2019-08-27 10:30:00 -0700,297
2019-08-27 10:35:00 -0700,297
2019-08-27 10:40:00 -0700,368
2019-08-27 10:45:00 -0700,426
2019-08-27 10:50:00 -0700,426
2019-08-27 10:55:00 -0700,517
2019-08-27 11:00:00 -0700,592
2019-08-27 11:05:00 -0700,592
2019-08-27 11:10:00 -0700,651
2019-08-27 11:15:00 -0700,721
2019-08-27 11:20:00 -0700,721
2019-08-27 11:25:00 -0700,797
2019-08-27 11:30:00 -0700,884
2019-08-27 11:35:00 -0700,884
2019-08-27 11:40:00 -0700,942
2019-08-27 11:45:00 -0700,1040
2019-08-27 11:50:00 -0700,1040
2019-08-27 11:55:00 -0700,976
2019-08-27 12:00:00 -0700,1064
2019-08-27 12:05:00 -0700,1064
2019-08-27 12:10:00 -0700,1075
2019-08-27 12:15:00 -0700,1180
2019-08-27 12:20:00 -0700,1180
2019-08-27 12:25:00 -0700,1161
2019-08-27 12:30:00 -0700,1259
